ParticipantIdentifier, RECORD_ID
P0716                ,    619845
P0717                ,    619856
P0718                ,    619858
P0719                ,    619861
P0720                ,    619862
P0721                ,    619876
P0722                ,    619877
P0723                ,    619896
P0724                ,    619898
P0725                ,    619916
P0726                ,    619917
P0727                ,    619936
P0728                ,    619938
P0729                ,    619939
P0730                ,    619940
P0731                ,    619957
P0732                ,    619958
P0733                ,    619959
P0734                ,    619960
P0735                ,    619961
P0736                ,    619962
P0737                ,    619963
P0738                ,    619964
P0739                ,    619965
P0740                ,    619966
P0741                ,    619967
P0742                ,    619976
P0743                ,    619996
P0744                ,    619997
P0745                ,    619998
P0746                ,    619999
P0747                ,    620003
P0748                ,    620016
P0749                ,    620017
P0750                ,    620018
P0751                ,    620019
P0752                ,    620020
P0753                ,    620021
P0754                ,    620022
P0755                ,    620023
P0756                ,    620024
P0757                ,    620056
P0758                ,    620057
P0759                ,    620058
P0760                ,    620059
P0761                ,    620078
P0762                ,    620079
P0763                ,    620080
P0764                ,    620082
P0765                ,    620083
P0766                ,    620084
P0767                ,    620096
P0768                ,    620097
P0769                ,    620098
P0770                ,    620099
P0771                ,    620100
P0772                ,    620116
P0773                ,    620122
P0774                ,    620125
P0775                ,    620127
P0776                ,    620136
P0777                ,    620139
P0778                ,    620140
P0779                ,    620141
P0780                ,    620142
P0781                ,    620143
P0782                ,    620144
P0783                ,    620145
P0784                ,    620146
P0785                ,    620147
P0786                ,    620150
P0787                ,    620151
P0788                ,    620152
P0789                ,    620154
P0790                ,    620155
P0791                ,    620157
P0792                ,    620159
P0793                ,    620161
P0794                ,    620162
P0795                ,    620164
P0796                ,    620165
P0797                ,    620166
P0798                ,    620167
P0799                ,    620168
P0800                ,    620176
P0801                ,    620180
P0802                ,    620196
P0803                ,    620198
P0804                ,    620199
P0805                ,    620216
P0806                ,    620219
P0807                ,    620220
P0808                ,    620221
P0809                ,    620225
P0810                ,    620228
P0811                ,    620229
P0812                ,    620230
P0813                ,    620236
P0814                ,    620241
P0815                ,    620242
P0816                ,    620243
P0817                ,    620256
P0818                ,    620260
P0819                ,    620261
P0820                ,    620262
P0821                ,    620267
P0822                ,    620268
P0823                ,    620276
P0824                ,    620277
P0825                ,    620279
P0826                ,    620280
P0827                ,    620281
P0828                ,    620282
P0829                ,    620284
P0830                ,    620285
P0831                ,    620287
P0832                ,    620288
P0833                ,    620289
P0834                ,    620292
P0835                ,    620293
P0836                ,    620294
P0837                ,    620295
P0838                ,    620296
P0839                ,    620316
P0840                ,    620319
P0841                ,    620320
P0842                ,    620338
P0843                ,    620356
P0844                ,    620376
P0845                ,    620377
P0846                ,    620378
P0847                ,    620379
P0848                ,    620380
P0849                ,    620396
P0850                ,    620397
P0851                ,    620416
P0852                ,    620436
P0853                ,    620438
P0854                ,    620439
P0855                ,    620441
P0856                ,    620456
P0857                ,    620458
P0858                ,    620459
P0859                ,    620460
P0860                ,    620463
P0861                ,    620468
P0862                ,    620476
P0863                ,    620496
P0864                ,    620497
P0865                ,    620498
P0866                ,    620516
P0867                ,    620517
P0868                ,    620518
P0869                ,    620519
P0870                ,    620520
P0871                ,    620521
P0872                ,    620522
P0873                ,    620556
P0874                ,    620557
P0875                ,    620563
P0876                ,    620564
P0877                ,    620565
P0878                ,    620566
P0879                ,    620567
P0880                ,    620568
P0881                ,    620569
P0882                ,    620570
P0883                ,    620576
P0884                ,    620596
P0885                ,    620598
P0886                ,    620601
P0887                ,    620602
P0888                ,    620603
P0889                ,    620606
P0890                ,    620608
P0891                ,    620612
P0892                ,    620614
P0893                ,    620616
P0894                ,    620618
P0895                ,    620636
P0896                ,    620637
P0897                ,    620638
P0898                ,    620639
P0899                ,    620640
P0900                ,    620641
P0901                ,    620642
P0902                ,    620643
P0903                ,    620644
P0904                ,    620647
P0905                ,    620648
P0906                ,    620649
P0907                ,    620652
P0908                ,    620654
P0909                ,    620656
P0910                ,    620657
P0911                ,    620658
P0912                ,    620659
P0913                ,    620660
P0914                ,    620661
P0915                ,    620662
P0916                ,    620663
P0917                ,    620664
P0918                ,    620665
P0919                ,    620666
P0920                ,    620667
P0921                ,    620668
P0922                ,    620669
P0923                ,    620670
P0924                ,    620672
P0925                ,    620673
P0926                ,    620674
P0927                ,    620676
P0928                ,    620677
P0929                ,    620678
P0930                ,    620679
P0931                ,    620680
P0932                ,    620681
P0933                ,    620697
P0934                ,    620698
P0935                ,    620699
P0936                ,    620701
P0937                ,    620702
P0938                ,    620704
P0939                ,    620705
P0940                ,    620706
P0941                ,    620707
P0942                ,    620708
P0943                ,    620711
P0944                ,    620716
P0945                ,    620718
P0946                ,    620720
P0947                ,    620721
P0948                ,    620722
P0949                ,    620725
P0950                ,    620727
P0951                ,    620736
P0952                ,    620737
P0953                ,    620739
P0954                ,    620742
P0955                ,    620743
P0956                ,    620744
P0957                ,    620745
P0958                ,    620746
P0959                ,    620747
P0960                ,    620749
P0961                ,    620750
P0962                ,    620751
P0963                ,    620752
P0964                ,    620753
P0965                ,    620754
P0966                ,    620755
P0967                ,    620756
P0968                ,    620757
P0969                ,    620758
P0970                ,    620776
P0971                ,    620778
P0972                ,    620780
P0973                ,    620782
P0974                ,    620784
P0975                ,    620786
P0976                ,    620787
P0977                ,    620788
P0978                ,    620792
P0979                ,    620793
P0980                ,    620794
P0981                ,    620795
P0982                ,    620796
P0983                ,    620797
P0984                ,    620816
P0985                ,    620817
P0986                ,    620818
P0987                ,    620836
P0988                ,    620856
P0989                ,    620857
P0990                ,    620858
P0991                ,    620859
P0992                ,    620876
P0993                ,    620877
P0994                ,    620896
P0995                ,    620897
P0996                ,    620899
P0997                ,    620900
P0998                ,    620906
P0999                ,    620907
P1000                ,    620918
